Year,Rainfall
2019,146
2014,165
2013,118
2009,149
2008,99
2007,168
2006,90
2005,110
2004,121
2003,126
2002,108
2001,82
2000,95
1999,50
1998,121
1997,126
1996,113
1994,390
1993,200
1992,100
1991,160
1988,100
1970,156.5
1969,75
1960,70
1959,102.1
1950,90.4
1948,101.2
1945,108.7
1944,121.7
1942,127.4
1941,75.6
1940,84.7
1939,108.4
1937,88
1908,116.8
1875,137.7
1874,90.8
1873,84.4
1872,113.8
1871,109.1
1870,150
1869,78.7
1868,81
1867,141.8
1866,185.1
1865,0